id,localdate,title,content,userid,emotion,behavior_patterns,behavior_frequency,mbti_type,mbti_confidence,recommended_topic,recommendation_reason,recommendation_score,learning_category
1,1/15/2025,요리 도전,오늘 요리를 처음 해봤는데 정말 재미있었다. 파스타를 만들었는데 생각보다 잘 됐다. 다음에는 더 어려운 요리에 도전해보고 싶다.,user_01,1,"요리, 음식, 실험","요리:5, 음식:3, 실험:2",ISFP,0.78,요리 기초,요리 관련 행동이 5회 발견되었고 긍정적 감정(기쁨)과 연관되어 있어 요리 기초 학습을 추천합니다.,0.92,생활
2,1/16/2025,운동 시작,운동을 시작했다. 처음에는 힘들었지만 점점 몸이 가벼워지는 게 느껴진다. 앞으로도 꾸준히 해야겠다.,user_01,1,"운동, 건강, 규칙","운동:7, 건강:4, 규칙:3",ISTJ,0.82,운동 및 피트니스,운동 관련 행동이 7회 발견되었고 규칙적인 패턴을 보여 운동 및 피트니스 학습을 추천합니다.,0.88,건강
3,1/17/2025,스트레스 관리,오늘 스트레스를 많이 받았다. 일이 너무 많아서 힘들었다. 감정을 어떻게 관리해야 할지 모르겠다.,user_01,2,"일, 스트레스, 감정","일:10, 스트레스:6, 감정:4",INTJ,0.75,감정 표현 및 관리,스트레스 관련 내용이 6회 발견되었고 감정 관리 필요성이 높아 감정 표현 및 관리 학습을 추천합니다.,0.85,심리
4,1/18/2025,여행 계획,여행 계획을 세우고 있다. 어디로 갈지 고민 중이다. 여행지 정보를 찾아보는 게 재미있다.,user_01,1,"여행, 계획, 탐색","여행:4, 계획:3, 탐색:2",ENFP,0.80,여행 계획 및 준비,여행 관련 행동이 4회 발견되었고 계획과 탐색 행동이 있어 여행 계획 및 준비 학습을 추천합니다.,0.80,문화
5,1/19/2025,공부 집중,공부를 시작했는데 집중이 잘 안 된다. 어떻게 하면 더 효율적으로 공부할 수 있을까?,user_01,0,"공부, 집중, 효율","공부:8, 집중:3, 효율:2",INTP,0.77,학습 방법론,공부 관련 행동이 8회 발견되었고 집중과 효율에 대한 고민이 있어 학습 방법론을 추천합니다.,0.90,교육
6,1/20/2025,병원 방문,병원에 갔다. 다행히 큰 문제는 없었지만 건강 관리의 중요성을 느꼈다.,user_01,0,"병원, 건강, 관리","병원:2, 건강:5, 관리:3",ISFJ,0.73,응급처치 기초,병원과 건강 관련 내용이 발견되어 응급처치 기초 학습을 추천합니다.,0.75,의료
7,1/21/2025,글쓰기 시작,글쓰기를 시작했다. 일기를 쓰는 게 생각보다 어렵다. 어떻게 하면 더 잘 쓸 수 있을까?,user_01,0,"글쓰기, 일기, 표현","글쓰기:6, 일기:4, 표현:3",INFP,0.79,글쓰기 및 기록,글쓰기 관련 행동이 6회 발견되었고 표현에 대한 고민이 있어 글쓰기 및 기록 학습을 추천합니다.,0.87,문서
8,1/22/2025,맑은 날씨,날씨가 정말 좋다. 맑은 하늘을 보니 기분이 좋아진다. 날씨에 대해 더 알고 싶다.,user_01,1,"날씨, 관찰, 자연","날씨:5, 관찰:3, 자연:2",ISFP,0.76,기상 관찰 및 기록,날씨 관련 관찰 행동이 5회 발견되어 기상 관찰 및 기록 학습을 추천합니다.,0.78,기상
9,1/23/2025,케이크 만들기,요리를 또 했다. 이번에는 케이크를 만들었다. 실패했지만 다음에는 성공하고 싶다.,user_01,1,"요리, 실험, 도전","요리:9, 실험:5, 도전:3",ESFP,0.81,요리 기초,요리 관련 행동이 9회로 증가했고 실험과 도전 의지가 있어 요리 기초 학습을 추천합니다.,0.94,생활
10,1/24/2025,운동 습관화,운동을 계속하고 있다. 이제는 습관이 된 것 같다. 더 전문적인 운동을 배우고 싶다.,user_01,1,"운동, 습관, 전문","운동:12, 습관:4, 전문:2",ESTJ,0.84,운동 및 피트니스,운동이 습관화되었고 전문성을 원하는 의지가 있어 운동 및 피트니스 학습을 추천합니다.,0.91,건강
11,1/25/2025,감정 표현 어려움,스트레스가 계속 쌓인다. 감정을 제대로 표현하지 못하는 것 같다. 어떻게 해야 할까?,user_01,2,"스트레스, 감정, 표현","스트레스:8, 감정:6, 표현:4",INFJ,0.76,감정 표현 및 관리,스트레스와 감정 표현 문제가 지속적으로 발견되어 감정 표현 및 관리 학습을 추천합니다.,0.89,심리
12,1/26/2025,여행 경험,여행을 다녀왔다. 정말 좋은 경험이었다. 다음 여행을 계획하고 싶다.,user_01,1,"여행, 경험, 계획","여행:6, 경험:4, 계획:3",ENFP,0.82,여행 계획 및 준비,여행 경험이 긍정적이었고 다음 여행 계획 의지가 있어 여행 계획 및 준비 학습을 추천합니다.,0.86,문화
13,1/27/2025,시험 준비,시험이 다가온다. 공부를 해야 하는데 집중이 안 된다. 효과적인 공부법을 알고 싶다.,user_01,4,"시험, 공부, 집중","시험:5, 공부:10, 집중:4",ISTP,0.75,학습 방법론,시험과 공부 관련 내용이 많고 집중 문제가 있어 학습 방법론을 추천합니다.,0.92,교육
14,1/28/2025,응급 상황,아픈 친구를 도와줬다. 응급처치를 해야 했는데 어떻게 해야 할지 몰랐다. 배워야겠다.,user_01,4,"도움, 응급, 배움","도움:3, 응급:2, 배움:2",ESFJ,0.88,응급처치 기초,응급 상황에서 도움을 주려는 의지가 있고 응급처치 필요성을 느꼈으므로 응급처치 기초 학습을 추천합니다.,0.83,의료
15,1/29/2025,일기 습관,일기를 쓰고 있다. 매일 쓰려고 노력하는데 쉽지 않다. 더 잘 쓰는 방법을 배우고 싶다.,user_01,0,"일기, 습관, 글쓰기","일기:7, 습관:3, 글쓰기:5",ISFP,0.77,글쓰기 및 기록,일기 쓰기를 습관화하려는 노력이 있고 글쓰기 개선 의지가 있어 글쓰기 및 기록 학습을 추천합니다.,0.85,문서
16,1/30/2025,흐린 날씨,날씨가 흐리다. 비가 올 것 같다. 날씨에 대해 더 알고 싶다.,user_01,0,"날씨, 관찰, 학습","날씨:6, 관찰:4, 학습:2",ISTJ,0.79,기상 관찰 및 기록,날씨 관찰 행동이 6회 발견되고 날씨에 대한 학습 의지가 있어 기상 관찰 및 기록 학습을 추천합니다.,0.80,기상
17,2/1/2025,요리 실력 향상,요리를 계속 하고 있다. 이제는 기본적인 요리는 할 수 있다. 더 어려운 요리에 도전하고 싶다.,user_01,1,"요리, 성장, 도전","요리:15, 성장:3, 도전:4",ESFP,0.85,요리 기초,요리 실력이 향상되었고 더 어려운 요리에 도전하려는 의지가 있어 요리 기초 학습을 추천합니다.,0.96,생활
18,2/2/2025,운동 즐거움,운동을 꾸준히 하고 있다. 이제는 운동이 즐겁다. 더 다양한 운동을 배우고 싶다.,user_01,1,"운동, 즐거움, 다양성","운동:18, 즐거움:5, 다양성:3",ESTP,0.83,운동 및 피트니스,운동이 즐거워졌고 다양한 운동을 배우려는 의지가 있어 운동 및 피트니스 학습을 추천합니다.,0.93,건강
19,2/3/2025,감정 표현 배움,감정을 제대로 표현하지 못한다. 화가 나도 표현을 못하고 슬퍼도 표현을 못한다. 배워야겠다.,user_01,2,"감정, 표현, 배움","감정:9, 표현:7, 배움:4",INFP,0.78,감정 표현 및 관리,감정 표현의 어려움을 인식하고 배우려는 의지가 강해 감정 표현 및 관리 학습을 추천합니다.,0.91,심리
20,2/4/2025,여행 계획 체계화,여행을 계획하고 있다. 여러 곳을 비교하고 있다. 체계적으로 계획하는 방법을 배우고 싶다.,user_01,1,"여행, 계획, 체계","여행:8, 계획:6, 체계:3",ENTJ,0.86,여행 계획 및 준비,여행 계획을 체계적으로 하고 싶어하는 의지가 있어 여행 계획 및 준비 학습을 추천합니다.,0.88,문화
